№,ИНН,Наименование организации,Полное наименование организации,Статус СПАРК,Статус внутренний,Статус ИТОГ,Дата добавления в реестр,Юридический адрес,Адрес производства,Адрес дополнительной площадки,latitude,longitude,Основная отрасль,Подотрасль (Основная),Дополнительная отрасль,Подотрасль (Дополнительная),Отраслевые презентации,Основной ОКВЭД (СПАРК),Вид деятельности по основному ОКВЭД (СПАРК),Производственный ОКВЭД,Вид деятельности по производственному ОКВЭД,Общие сведения об организации,Размер предприятия (итог),Размер предприятия (итог) 2022,Размер предприятия (по численности),Размер предприятия (по численности) 2022,Размер предприятия (по выручке),Размер предприятия (по выручке) 2022,Дата регистрации,Руководитель,Головная организация,ИНН головной организации,Вид отношения головной организации,Контактные данные руководства,Почта руководства,Контакт сотрудника организации,Номер телефона,Контактные данные ответственного по ЧС,Сайт,Электронная почта,Данные о мерах поддержки,Наличие особого статуса,Площадка итог,Получена поддержка от г. Москвы,Системообразующее предприятие,Статус МСП,То самое,Финансово-экономические показатели,"Выручка предприятия, тыс. руб. 2017","Выручка предприятия, тыс. руб. 2018","Выручка предприятия, тыс. руб. 2019","Выручка предприятия, тыс. руб. 2020","Выручка предприятия, тыс. руб. 2021","Выручка предприятия, тыс. руб. 2022","Выручка предприятия, тыс. руб. 2023","Чистая прибыль (убыток),тыс. руб. 2017","Чистая прибыль (убыток),тыс. руб. 2018","Чистая прибыль (убыток),тыс. руб. 2019","Чистая прибыль (убыток),тыс. руб. 2020","Чистая прибыль (убыток),тыс. руб. 2021","Чистая прибыль (убыток),тыс. руб. 2022","Чистая прибыль (убыток),тыс. руб. 2023","Среднесписочная численность персонала (всего по компании), чел 2017","Среднесписочная численность персонала (всего по компании), чел 2018","Среднесписочная численность персонала (всего по компании), чел 2019","Среднесписочная численность персонала (всего по компании), чел 2020","Среднесписочная численность персонала (всего по компании), чел 2021","Среднесписочная численность персонала (всего по компании), чел 2022","Среднесписочная численность персонала (всего по компании), чел 2023","Среднесписочная численность персонала, работающего в Москве, чел 2017","Среднесписочная численность персонала, работающего в Москве, чел 2018","Среднесписочная численность персонала, работающего в Москве, чел 2019","Среднесписочная численность персонала, работающего в Москве, чел 2020","Среднесписочная численность персонала, работающего в Москве, чел 2021","Среднесписочная численность персонала, работающего в Москве, чел 2022","Среднесписочная численность персонала, работающего в Москве, чел 2023","Фонд оплаты труда всех сотрудников организации, тыс. руб 2017","Фонд оплаты труда всех сотрудников организации, тыс. руб 2018","Фонд оплаты труда всех сотрудников организации, тыс. руб 2019","Фонд оплаты труда всех сотрудников организации, тыс. руб 2020","Фонд оплаты труда всех сотрудников организации, тыс. руб 2021","Фонд оплаты труда всех сотрудников организации, тыс. руб 2022","Фонд оплаты труда всех сотрудников организации, тыс. руб 2023","Средняя з.п. всех сотрудников организации,  тыс.руб. 2017","Средняя з.п. всех сотрудников организации,  тыс.руб. 2018","Средняя з.п. всех сотрудников организации,  тыс.руб. 2019","Средняя з.п. всех сотрудников организации,  тыс.руб. 2020","Средняя з.п. всех сотрудников организации,  тыс.руб. 2021","Средняя з.п. всех сотрудников организации,  тыс.руб. 2022","Средняя з.п. всех сотрудников организации,  тыс.руб. 2023","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2017","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2018","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2019","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2020","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2021","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2022","Налоги, уплаченные в бюджет Москвы (без акцизов), тыс.руб. 2023","Налог на прибыль, тыс.руб. 2017","Налог на прибыль, тыс.руб. 2018","Налог на прибыль, тыс.руб. 2019","Налог на прибыль, тыс.руб. 2020","Налог на прибыль, тыс.руб. 2021","Налог на прибыль, тыс.руб. 2022","Налог на прибыль, тыс.руб. 2023"
11,1590838716,ООО «ТысячаПром»,Общество с ограниченной ответственностью «ТысячаПром»»,Действует,Заморожена,В реестре,2020-07-28,"клх Калуга, ул. Брянская, д. 83 к. 9, 134352","клх Калуга, ул. Брянская, д. 83 к. 9, 134352","к. Балтийск, пер. Гагарина, д. 27, 947775",55.749129,37.535697,Машиностроение,Комплектующие,Логистика,Сервис,Есть,16.1,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ТысячаПром» — промышленное предприятие, действующее с 2013 года.",Крупное,Крупное,Крупное,Малое,Малое,Крупное,2013-07-22,Селиверстов Анжела Натановна,РАО «Селезнев Лихачева»,8392424691,Дочерняя,8 (885) 685-57-44,onufrishubin@ip.biz,Валерия Афанасьевна Власова,8 (885) 685-57-44,г-н Алексеев Геннадий Ефимьевич,https://npo.biz,onufrishubin@ip.biz,Получала грант,Нет,Другой регион,Да,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,2445839,2501207,3048557,2966772,3152290,2965131,3345506,366811,173630,244226,164324,144812,218639,223142,128,139,131,124,134,127,152,127,127,126,120,137,121,130,2760916,2541591,2429260,2186751,1992769,1974526,2129705,1217,1495,1272,1420,1503,1514,1479,138054,118347,114557,114811,112035,108077,121777,145769,164077,298160,198904,179200,248291,169913
12,5453811475,ООО «ГолубчикПром»,Общество с ограниченной ответственностью «ГолубчикПром»»,Действует,Активна,Не в реестре,2018-12-23,"г. Поронайск, бул. Чайкиной, д. 1 к. 54, 134936","г. Поронайск, бул. Чайкиной, д. 1 к. 54, 134936","к. Дмитров, ул. Мелиоративная, д. 5, 174648",55.761767,37.545516,Металлургия,Сборка оборудования,Переработка,Транспортировка,Нет,20.13,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ГолубчикПром» — промышленное предприятие, действующее с 2010 года.",Малое,Крупное,Среднее,Среднее,Крупное,Малое,2010-12-01,Чернов Викторин Анатольевна,Кузнецова Групп,6720572969,Дочерняя,89091334123,natan_2000@ip.biz,Волков Пимен Захарьевич,89091334123,Козлова Анна Евгеньевна,https://zao.com,natan_2000@ip.biz,Получала грант,Нет,Подмосковье,Нет,Нет,Среднее,Да,Стабильный рост выручки и численности персонала,485764,485035,542024,462676,482714,489465,512150,37254,51576,39293,52758,38036,56898,40238,22,24,28,22,23,24,19,23,20,25,22,22,23,27,494345,422678,432542,481996,526194,451909,524002,255,213,241,273,242,218,259,22462,26439,22689,24212,23781,27599,26829,59316,72463,40055,27212,50391,71690,49094
13,5952163720,ООО «ДоставатьПром»,Общество с ограниченной ответственностью «ДоставатьПром»»,Ликвидирована,Заморожена,В реестре,2018-06-18,"клх Таганрог, бул. Юности, д. 671 к. 6, 680876","клх Таганрог, бул. Юности, д. 671 к. 6, 680876","д. Тамбей, пр. Больничный, д. 94 стр. 84, 109324",55.792706,37.609964,Металлургия,Сборка оборудования,Переработка,Транспортировка,Есть,20.13,Производство промышленной продукции,25.62,Производство оборудования,"ООО «ДоставатьПром» — промышленное предприятие, действующее с 2010 года.",Малое,Малое,Среднее,Крупное,Малое,Среднее,2010-06-22,Давыдова Фирс Валентиновна,Новиков Лтд,9991206531,Холдинг,+7 (967) 175-65-51,florentin02@zao.biz,Зиновий Валентинович Суворов,+7 (967) 175-65-51,Виктория Святославовна Тетерина,https://oao.edu,florentin02@zao.biz,Не получала,Да,Москва,Нет,Да,Микро,Да,Стабильный рост выручки и численности персонала,1336645,1732974,1473768,1654441,1485829,1755413,1565948,197893,73154,122665,132419,108310,93913,86742,69,67,64,78,69,77,87,67,73,79,63,63,61,59,1460321,1558192,1259559,1568361,1382806,1512178,1475900,800,689,628,628,612,568,524,78663,81170,83081,81979,72845,67866,81597,145499,110684,142057,125309,160646,119860,197800
14,9704383251,ООО «ВажныйПром»,Общество с ограниченной ответственностью «ВажныйПром»»,В процессе ликвидации,Заморожена,В реестре,2023-08-25,"д. Стерлитамак, наб. Репина, д. 6/4 к. 79, 605766","д. Стерлитамак, наб. Репина, д. 6/4 к. 79, 605766","г. Грозный, пер. Толстого, д. 971 стр. 1/3, 217459",55.623705,37.665682,Пищевая промышленность,Комплектующие,Ремонт,Сервис,Нет,25.62,Производство промышленной продукции,16.1,Производство оборудования,"ООО «ВажныйПром» — промышленное предприятие, действующее с 2021 года.",Малое,Малое,Малое,Среднее,Крупное,Малое,2021-08-30,Логинов Симон Максимовна,РэйлАльянс,2040226318,Холдинг,8 (214) 658-4044,ratiborzhdanov@npo.net,Красильникова Лора Тарасовна,8 (214) 658-4044,Лукьян Чеславович Уваров,https://npo.info,ratiborzhdanov@npo.net,Получала субсидию,Да,Москва,Да,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,2174080,2165120,2427638,2313654,2606264,2691490,2262131,376511,182673,251556,305144,291197,164788,183368,127,114,106,104,110,107,115,109,109,111,120,132,115,125,2459681,2056276,2352926,1965225,2282876,2016555,1941610,1167,1160,1034,1020,1082,1007,1079,125898,98431,106018,100323,113027,111289,115877,220358,264184,126126,351688,371755,157459,160359
15,8435100486,ООО «СохранятьПром»,Общество с ограниченной ответственностью «СохранятьПром»»,В процессе ликвидации,Активна,В реестре,2024-11-04,"д. Приозерск, бул. Осенний, д. 22 стр. 4/8, 374740","д. Приозерск, бул. Осенний, д. 22 стр. 4/8, 374740","клх Усмань, ул. Щербакова, д. 5, 474367",55.807507,37.469197,Текстильная промышленность,Комплектующие,Логистика,Транспортировка,Есть,25.62,Производство промышленной продукции,16.1,Производство оборудования,"ООО «СохранятьПром» — промышленное предприятие, действующее с 2019 года.",Малое,Среднее,Среднее,Малое,Среднее,Крупное,2019-08-28,Богданов Ян Арсеньевич,АО «Фадеев»,1409675904,Дочерняя,+7 724 005 04 55,budimirkudrjashov@oao.org,Игнатьева Кира Кирилловна,+7 724 005 04 55,Никонов Николай Елизарович,https://ooo.biz,budimirkudrjashov@oao.org,Получала грант,Нет,Москва,Да,Нет,Крупное,Да,Стабильный рост выручки и численности персонала,2266503,2308244,2429837,2217860,2507895,2381687,2037308,287152,296814,224747,381939,294077,269707,326157,108,124,115,130,120,131,134,107,107,112,101,114,107,91,2301374,2293560,2063607,2045685,2175844,1873175,2266804,1125,1000,1007,1096,1425,1177,1038,122778,123310,134518,133098,140098,146326,130607,354907,265569,293511,291698,304523,147774,295337
16,8130494783,ООО «ЭкзаменПром»,Общество с ограниченной ответственностью «ЭкзаменПром»»,Действует,Активна,В реестре,2021-12-26,"к. Пушкин, алл. Шахтерская, д. 9, 247451","к. Пушкин, алл. Шахтерская, д. 9, 247451","ст. Кингисепп, бул. М.Горького, д. 2 стр. 1/5, 754965",55.787,37.69321,Деревообработка,Производство деталей,Переработка,Ремонт деталей,Нет,16.1,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ЭкзаменПром» — промышленное предприятие, действующее с 2009 года.",Малое,Крупное,Крупное,Малое,Крупное,Среднее,2009-06-22,Степанова Жанна Семеновна,ООО «Абрамов»,2885330933,Холдинг,+7 (942) 104-7095,konon2022@zao.com,Якуб Зиновьевич Фомичев,+7 (942) 104-7095,Юдина Ангелина Рубеновна,https://strogazmontazh.net,konon2022@zao.com,Не получала,Да,Москва,Нет,Да,Среднее,Нет,Стабильный рост выручки и численности персонала,223647,209258,253445,226743,234224,226953,248902,12792,30828,21224,16534,30589,16287,29108,10,11,11,9,9,9,9,12,9,9,9,9,8,9,239508,270960,243479,241004,246216,257205,249054,120,126,118,118,128,114,122,10472,11619,10306,9956,10313,10688,10536,29483,28340,27532,30356,20796,25136,30217
17,1648667392,ООО «ВолкПром»,Общество с ограниченной ответственностью «ВолкПром»»,Ликвидирована,Проверка,В реестре,2023-08-22,"с. Саянск, ш. Гастелло, д. 658, 643171","с. Саянск, ш. Гастелло, д. 658, 643171","г. Нальчик, алл. Высокая, д. 483, 529042",55.754669,37.660756,Металлургия,Комплектующие,Переработка,Сервис,Нет,13.2,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ВолкПром» — промышленное предприятие, действующее с 2006 года.",Крупное,Крупное,Малое,Малое,Среднее,Крупное,2006-02-11,Родионова Ладислав Захаровна,ЗАО «Овчинников Орехова»,9661772834,Холдинг,8 869 261 7964,semen11@zao.info,Нестеров Александр Васильевич,8 869 261 7964,Вишняков Изот Захарьевич,https://rao.ru,semen11@zao.info,Получала грант,Нет,Москва,Нет,Да,Микро,Да,Стабильный рост выручки и численности персонала,4458013,3834978,3985451,4235650,4271511,4508055,4303849,328505,284394,284856,500523,291505,515134,579362,198,221,186,242,250,221,226,209,223,235,216,228,245,212,4630950,4608488,4646486,4359769,3772153,4218406,4315893,2121,1909,2101,2049,2079,2210,2087,235949,203562,200775,211234,235763,206324,181143,622223,301092,391624,203230,421853,217181,248706
18,5201221330,ООО «ВздрагиватьПром»,Общество с ограниченной ответственностью «ВздрагиватьПром»»,Действует,Заморожена,Не в реестре,2022-07-07,"клх Сасово, ул. Космонавтов, д. 31, 998569","клх Сасово, ул. Космонавтов, д. 31, 998569","д. Шенкурск, ул. Донская, д. 86 к. 66, 661565",55.716995,37.569969,Деревообработка,Производство деталей,Ремонт,Транспортировка,Нет,20.13,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ВздрагиватьПром» — промышленное предприятие, действующее с 2019 года.",Крупное,Крупное,Крупное,Среднее,Среднее,Среднее,2019-07-04,Шестаков Капитон Антипович,Евроцемент груп,6582393412,Дочерняя,8 (390) 847-0076,muhinprohor@zao.info,Герасим Харламович Виноградов,8 (390) 847-0076,Михайлов Вадим Феликсович,https://ooo.ru,muhinprohor@zao.info,Получала грант,Нет,Москва,Нет,Да,Крупное,Да,Стабильный рост выручки и численности персонала,4166278,4281900,4387542,3992997,4055375,4513887,4337334,535088,360240,391867,622839,632480,667296,546621,202,248,252,254,256,318,326,241,209,226,215,246,233,253,4062758,4635184,5281665,5131788,5061833,5836918,4845479,2342,2288,2447,2930,2344,2444,2576,238909,214502,224421,202805,188553,205661,188795,598327,356090,345211,504966,200095,276748,268487
19,5982744929,ООО «ЛенинградПром»,Общество с ограниченной ответственностью «ЛенинградПром»»,Ликвидирована,Активна,Не в реестре,2019-03-22,"к. Усть-Кулом, ул. Медицинская, д. 96 к. 194, 445502","к. Усть-Кулом, ул. Медицинская, д. 96 к. 194, 445502","п. Яшкуль, ул. Рыбацкая, д. 7/8, 254599",55.662525,37.607713,Деревообработка,Комплектующие,Ремонт,Ремонт деталей,Нет,10.51,Производство промышленной продукции,28.41,Производство оборудования,"ООО «ЛенинградПром» — промышленное предприятие, действующее с 2021 года.",Малое,Малое,Крупное,Среднее,Малое,Среднее,2021-05-29,Копылова Нонна Марсович,РАО «Никифоров»,2670036982,Холдинг,8 049 451 98 32,maksim_2015@npo.edu,Орехов Антип Артурович,8 049 451 98 32,Парамон Чеславович Кошелев,https://zao.net,maksim_2015@npo.edu,Не получала,Да,Подмосковье,Да,Да,Малое,Нет,Стабильный рост выручки и численности персонала,3650800,3227995,3474020,3305798,3675912,3089466,3359462,527248,575018,211639,212536,374881,402332,366146,196,170,181,178,202,182,204,191,197,207,184,194,190,181,3788517,3871801,3504478,3715907,4008691,4448029,3782252,1872,1857,1752,1735,1880,1870,1863,180977,178827,195163,165064,178386,212252,188095,267305,407670,422844,457241,635464,450544,447328
20,8199372599,ООО «КаютаПром»,Общество с ограниченной ответственностью «КаютаПром»»,В процессе ликвидации,Заморожена,Не в реестре,2018-08-30,"клх Руза, алл. Максима Горького, д. 98, 160607","клх Руза, алл. Максима Горького, д. 98, 160607","д. Пинега, бул. Марта 8, д. 2 стр. 1/6, 975161",55.683143,37.521558,Пищевая промышленность,Комплектующие,Логистика,Транспортировка,Нет,28.41,Производство промышленной продукции,13.2,Производство оборудования,"ООО «КаютаПром» — промышленное предприятие, действующее с 2009 года.",Крупное,Среднее,Малое,Малое,Среднее,Малое,2009-01-31,Никонов Ким Григорьевич,НПО «Медведева Брагин»,6880115912,Филиал,8 900 343 24 45,bobrovhristofor@zao.com,Афанасьева Ксения Львовна,8 900 343 24 45,Гуляев Давыд Артемьевич,https://danilov.info,bobrovhristofor@zao.com,Получала грант,Да,Другой регион,Да,Нет,Среднее,Да,Стабильный рост выручки и численности персонала,1371942,1228471,1392110,1448958,1540799,1445090,1649288,165362,134176,141742,54281,109864,85623,78253,68,60,66,61,58,59,57,61,65,58,62,65,60,50,1259714,1323900,1292444,1332152,1296396,1206204,1058284,620,743,698,764,916,890,956,62227,56954,62621,63783,62827,51581,52240,124916,163825,73052,62315,179831,183811,159301
21,1313497572,ООО «ИсследованиеПром»,Общество с ограниченной ответственностью «ИсследованиеПром»»,Действует,Проверка,В реестре,2020-06-10,"г. Соболево, бул. Лермонтова, д. 1 к. 9, 477005","г. Соболево, бул. Лермонтова, д. 1 к. 9, 477005","д. Шадринск, пр. Леонова, д. 479 стр. 8, 071518",55.779644,37.395771,Деревообработка,Производство деталей,Ремонт,Транспортировка,Нет,13.2,Производство промышленной продукции,13.2,Производство оборудования,"ООО «ИсследованиеПром» — промышленное предприятие, действующее с 2015 года.",Малое,Среднее,Среднее,Малое,Среднее,Крупное,2015-10-04,Калинина Викентий Архиповна,ВСК,5950724801,Дочерняя,+7 (127) 799-79-95,frolovvarfolome@ip.net,Рогов Порфирий Феоктистович,+7 (127) 799-79-95,Костина Галина Михайловна,https://kolesnikov.biz,frolovvarfolome@ip.net,Получала грант,Да,Другой регион,Да,Да,Среднее,Нет,Стабильный рост выручки и численности персонала,617185,634422,666177,561548,627383,605835,666068,40736,80437,61338,86003,89139,42058,69036,35,38,33,30,34,29,27,35,32,33,36,27,30,30,609124,716130,605336,657611,651183,545947,547498,322,316,362,313,344,352,277,36419,33918,30349,31875,36961,33218,32246,86706,48218,36426,84821,61149,84589,35707
22,7527316141,ООО «ОПром»,Общество с ограниченной ответственностью «ОПром»»,Ликвидирована,Заморожена,В реестре,2019-08-20,"клх Мыс Шмидта, бул. Студенческий, д. 9/6, 542357","клх Мыс Шмидта, бул. Студенческий, д. 9/6, 542357","п. Буйнакск, ш. Сельское, д. 359 к. 3/3, 927065",55.751013,37.675693,Текстильная промышленность,Комплектующие,Ремонт,Сервис,Есть,13.2,Производство промышленной продукции,10.51,Производство оборудования,"ООО «ОПром» — промышленное предприятие, действующее с 2007 года.",Крупное,Малое,Малое,Крупное,Среднее,Малое,2007-11-19,Гордеева Кондрат Терентьевич,Объединенные кондитеры,5141285960,Дочерняя,+79251925462,artemi_51@shcherbakova.biz,Эмилия Ильинична Ситникова,+79251925462,Нонна Евгеньевна Лукина,https://oao.ru,artemi_51@shcherbakova.biz,Получала грант,Нет,Подмосковье,Нет,Нет,Среднее,Нет,Стабильный рост выручки и численности персонала,3187387,2960155,2661898,2544413,2512770,2585201,2642793,251956,203370,401407,442826,237739,173639,402343,173,162,138,147,133,148,157,150,163,164,148,155,139,150,3030700,3120169,2854003,2968388,2953543,2826944,2764698,1679,1579,1913,1668,1797,1554,1513,166169,190734,149713,186497,194064,190162,169351,252009,381403,426900,267668,168796,327221,445893
